RX_MMSI,IMO_Number,Call_Sign,ShipName,MMSI,Navigational_Status,ROT,SOG,Position_Accuracy,Longitude,Latitude,COG,True_Heading,Time_Stamp,Ship_and_Cargo_Type,Reference_Position_A,Reference_Position_B,Reference_Position_C,Reference_Position_D,Fixing_Device,ETA,MAX_Draught,Destination,DTE,Record_Time
004161804,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.8,1,120.301935,24.070335,196.7,201,45,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:22:43
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.8,1,120.301935,24.070335,196.7,201,45,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:22:43
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.8,1,120.302228,24.071178,197.1,201,17,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:22:15
004161804,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.8,1,120.302228,24.071178,197.1,201,17,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:22:15
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.302340,24.071512,197.6,201,6,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:22:04
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.7,1,120.302037,24.070638,197.8,200,35,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:22:34
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,-127,6.7,1,120.302142,24.070940,198.3,201,25,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:22:23
004161804,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.8,1,120.301613,24.069400,197.8,201,17,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:23:15
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.8,1,120.301613,24.069400,197.8,201,17,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:23:15
004161804,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.8,1,120.301725,24.069735,197.6,201,6,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:23:03
004161805,9794458,PCTQ   ,ZWERVER 2           ,244870718,0,0,6.8,1,120.301725,24.069735,197.6,201,6,52,19,16,3,13,0,2021-09-14 14:00:00,3,YUNLIN OWF          ,0,2021-09-14 11:23:04
